dataset,model,attr_method,itr_no,time
traffic,iTransformer,feature_ablation,3,0:01:58.205258
traffic,iTransformer,augmented_occlusion,1,0:03:17.592727
traffic,iTransformer,augmented_occlusion,2,0:02:02.557608
traffic,iTransformer,augmented_occlusion,3,0:02:02.542925
traffic,iTransformer,feature_permutation,1,0:03:15.296587
traffic,iTransformer,feature_permutation,2,0:02:00.206105
traffic,iTransformer,feature_permutation,3,0:02:00.462335
traffic,iTransformer,integrated_gradients,1,0:01:33.975187
traffic,iTransformer,integrated_gradients,2,0:02:23.685307
traffic,iTransformer,integrated_gradients,3,0:02:23.774776
traffic,iTransformer,gradient_shap,1,0:01:53.490906
traffic,iTransformer,gradient_shap,2,0:01:53.711987
traffic,iTransformer,gradient_shap,3,0:01:53.777453
traffic,iTransformer,dyna_mask,1,0
traffic,iTransformer,dyna_mask,2,0
traffic,iTransformer,dyna_mask,3,0
traffic,iTransformer,winIT,1,0:02:23.310840
traffic,iTransformer,winIT,2,0:02:22.831696
traffic,iTransformer,winIT,3,0:02:23.016879
traffic,iTransformer,tsr,1,0:29:44.927417
traffic,iTransformer,tsr,2,0:29:44.673234
traffic,iTransformer,tsr,3,0:29:46.440745
traffic,iTransformer,wtsr,1,0:02:18.496952
traffic,iTransformer,wtsr,2,0:02:18.672183
traffic,iTransformer,wtsr,3,0:02:18.673045
mimic_iii,DLinear,feature_ablation,1,0:01:42.158921
mimic_iii,DLinear,feature_ablation,2,0:01:35.913619
mimic_iii,DLinear,feature_ablation,3,0:01:35.976420
mimic_iii,DLinear,augmented_occlusion,1,0:01:58.108051
mimic_iii,DLinear,augmented_occlusion,2,0:01:58.325215
mimic_iii,DLinear,augmented_occlusion,3,0:01:58.750847
mimic_iii,DLinear,feature_permutation,1,0:01:48.216444
mimic_iii,DLinear,feature_permutation,2,0:01:48.451013
mimic_iii,DLinear,feature_permutation,3,0:01:48.790670
mimic_iii,DLinear,integrated_gradients,1,0:00:12.789220
mimic_iii,DLinear,integrated_gradients,2,0:00:12.726401
mimic_iii,DLinear,integrated_gradients,3,0:00:12.741581
mimic_iii,DLinear,gradient_shap,1,0:00:08.450731
mimic_iii,DLinear,gradient_shap,2,0:00:08.413615
mimic_iii,DLinear,gradient_shap,3,0:00:08.460493
mimic_iii,DLinear,dyna_mask,1,0
mimic_iii,DLinear,dyna_mask,2,0
mimic_iii,DLinear,dyna_mask,3,0
mimic_iii,DLinear,winIT,1,0:06:55.513614
mimic_iii,DLinear,winIT,2,0:06:53.441129
mimic_iii,DLinear,winIT,3,0:06:53.921855
mimic_iii,DLinear,tsr,1,0:07:16.248473
mimic_iii,DLinear,tsr,2,0:07:16.008501
mimic_iii,DLinear,tsr,3,0:07:15.600516
mimic_iii,DLinear,wtsr,1,0:03:53.783287
mimic_iii,DLinear,wtsr,2,0:03:53.016425
mimic_iii,DLinear,wtsr,3,0:03:53.514083
mimic_iii,MICN,feature_ablation,1,0:06:30.846561
mimic_iii,MICN,feature_ablation,2,0:06:26.752643
mimic_iii,MICN,feature_ablation,3,0:06:28.190677
mimic_iii,MICN,augmented_occlusion,1,0:06:46.116642
mimic_iii,MICN,augmented_occlusion,2,0:06:48.439147
mimic_iii,MICN,augmented_occlusion,3,0:06:48.895199
mimic_iii,MICN,feature_permutation,1,0:06:36.108128
mimic_iii,MICN,feature_permutation,2,0:06:39.071564
mimic_iii,MICN,feature_permutation,3,0:06:39.927109
mimic_iii,MICN,integrated_gradients,1,0:00:38.415766
mimic_iii,MICN,integrated_gradients,2,0:00:38.096297
mimic_iii,MICN,integrated_gradients,3,0:00:38.176766
mimic_iii,MICN,gradient_shap,1,0:00:26.866260
mimic_iii,MICN,gradient_shap,2,0:00:26.861785
mimic_iii,MICN,gradient_shap,3,0:00:26.870952
mimic_iii,MICN,dyna_mask,1,0
mimic_iii,MICN,dyna_mask,2,0
mimic_iii,MICN,dyna_mask,3,0
mimic_iii,MICN,winIT,1,0:11:45.373828
mimic_iii,MICN,winIT,2,0:11:47.177401
mimic_iii,MICN,winIT,3,0:11:47.844761
mimic_iii,MICN,tsr,1,0:11:50.948190
mimic_iii,MICN,tsr,2,0:11:53.692946
mimic_iii,MICN,tsr,3,0:11:53.452771
mimic_iii,MICN,wtsr,1,0:06:30.699298
mimic_iii,MICN,wtsr,2,0:06:31.782815
mimic_iii,MICN,wtsr,3,0:06:31.985478
mimic_iii,SegRNN,feature_ablation,1,0:09:16.884986
mimic_iii,SegRNN,feature_ablation,2,0
mimic_iii,SegRNN,feature_ablation,3,0
mimic_iii,SegRNN,augmented_occlusion,1,0:10:16.993957
mimic_iii,SegRNN,augmented_occlusion,2,0
mimic_iii,SegRNN,augmented_occlusion,3,0
mimic_iii,SegRNN,feature_permutation,1,0:10:15.874125
mimic_iii,SegRNN,feature_permutation,2,0
mimic_iii,SegRNN,feature_permutation,3,0
mimic_iii,SegRNN,integrated_gradients,1,0:00:25.509555
mimic_iii,SegRNN,integrated_gradients,2,0:00:22.735333
mimic_iii,SegRNN,integrated_gradients,3,0:00:23.168390
mimic_iii,SegRNN,gradient_shap,1,0:00:12.256374
mimic_iii,SegRNN,gradient_shap,2,0:00:12.365416
mimic_iii,SegRNN,gradient_shap,3,0:00:12.735204
mimic_iii,SegRNN,dyna_mask,1,0:00:18.022343
mimic_iii,SegRNN,dyna_mask,2,0:00:17.625746
mimic_iii,SegRNN,dyna_mask,3,0:00:17.572311
mimic_iii,SegRNN,winIT,1,0:05:27.954113
mimic_iii,SegRNN,winIT,2,0
mimic_iii,SegRNN,winIT,3,0
mimic_iii,SegRNN,tsr,1,0:06:58.792942
mimic_iii,SegRNN,tsr,2,0
mimic_iii,SegRNN,tsr,3,0
mimic_iii,SegRNN,wtsr,1,0
mimic_iii,SegRNN,wtsr,2,0
mimic_iii,SegRNN,wtsr,3,0
mimic_iii,iTransformer,feature_ablation,1,0:05:56.537524
mimic_iii,iTransformer,feature_ablation,2,0:05:59.818232
mimic_iii,iTransformer,feature_ablation,3,0:05:59.559063
mimic_iii,iTransformer,augmented_occlusion,1,0:06:20.850459
mimic_iii,iTransformer,augmented_occlusion,2,0:06:23.539601
mimic_iii,iTransformer,augmented_occlusion,3,0:06:23.696263
mimic_iii,iTransformer,feature_permutation,1,0:06:10.076850
mimic_iii,iTransformer,feature_permutation,2,0:06:13.330488
mimic_iii,iTransformer,feature_permutation,3,0:06:13.373072
mimic_iii,iTransformer,integrated_gradients,1,0:00:30.973213
mimic_iii,iTransformer,integrated_gradients,2,0:00:30.944508
mimic_iii,iTransformer,integrated_gradients,3,0:00:30.942384
