dataset,model,iteration,name,timestamp,duration,settings
mimic_iii,MICN,1,feature_permutation,2024-07-26 02:21:43.506477,0:06:56.901763,
traffic,MICN,1,dyna_mask,2024-07-26 02:22:14.953256,0:03:00.444571,
mimic_iii,MICN,1,integrated_gradients,2024-07-26 02:22:34.461959,0:00:50.803666,
mimic_iii,MICN,1,gradient_shap,2024-07-26 02:23:12.011793,0:00:37.393152,
mimic_iii,MICN,1,dyna_mask,2024-07-26 02:24:02.787999,0:00:50.624801,
traffic,MICN,1,winIT,2024-07-26 02:27:13.877847,0:04:58.729016,
traffic,MICN,1,wtsr,2024-07-26 02:31:04.463543,0:03:50.380870,
mimic_iii,MICN,1,winIT,2024-07-26 02:35:59.621737,0:11:56.674591,
electricity,MICN,1,feature_ablation,2024-07-26 02:43:17.606889,0:06:15.650599,
mimic_iii,MICN,1,wtsr,2024-07-26 02:43:25.954725,0:07:26.174833,
electricity,MICN,1,occlusion,2024-07-26 02:49:40.307697,0:06:22.480921,
electricity,MICN,1,augmented_occlusion,2024-07-26 02:56:05.674187,0:06:25.142864,
electricity,MICN,1,feature_permutation,2024-07-26 03:02:26.335477,0:06:20.447780,
mimic_iii,MICN,2,feature_ablation,2024-07-26 03:03:53.957321,0:06:59.255066,
electricity,MICN,1,integrated_gradients,2024-07-26 03:09:21.801849,0:06:55.192119,
traffic,MICN,2,feature_ablation,2024-07-26 03:09:34.345762,0:04:25.531141,
mimic_iii,MICN,2,occlusion,2024-07-26 03:11:09.643665,0:07:15.525973,
electricity,MICN,1,gradient_shap,2024-07-26 03:13:51.732077,0:04:29.713450,
traffic,MICN,2,occlusion,2024-07-26 03:14:03.105434,0:04:28.545773,
electricity,MICN,1,dyna_mask,2024-07-26 03:18:19.982320,0:04:28.029283,
traffic,MICN,2,augmented_occlusion,2024-07-26 03:18:34.513352,0:04:31.211289,
mimic_iii,MICN,2,augmented_occlusion,2024-07-26 03:18:35.471437,0:07:25.673014,
traffic,MICN,2,feature_permutation,2024-07-26 03:23:03.867623,0:04:29.149315,
electricity,MICN,1,winIT,2024-07-26 03:25:46.381086,0:07:26.175460,
mimic_iii,MICN,2,feature_permutation,2024-07-26 03:25:47.894416,0:07:12.260794,
mimic_iii,MICN,2,integrated_gradients,2024-07-26 03:26:39.925738,0:00:51.877054,
mimic_iii,MICN,2,gradient_shap,2024-07-26 03:27:18.068082,0:00:37.979661,
traffic,MICN,2,integrated_gradients,2024-07-26 03:27:40.658658,0:04:36.584794,
mimic_iii,MICN,2,dyna_mask,2024-07-26 03:28:08.478130,0:00:50.247006,
traffic,MICN,2,gradient_shap,2024-07-26 03:30:49.315805,0:03:08.464317,
electricity,MICN,1,wtsr,2024-07-26 03:31:26.864689,0:05:40.264914,
traffic,MICN,2,dyna_mask,2024-07-26 03:33:50.853261,0:03:01.340416,
traffic,MICN,2,winIT,2024-07-26 03:38:49.919756,0:04:58.872443,
mimic_iii,MICN,2,winIT,2024-07-26 03:40:05.792889,0:11:57.118107,
traffic,MICN,2,wtsr,2024-07-26 03:42:41.346546,0:03:51.228260,
mimic_iii,MICN,2,wtsr,2024-07-26 03:47:33.579698,0:07:27.631077,
mimic_iii,MICN,3,feature_ablation,2024-07-26 04:08:02.960477,0:06:58.692643,
mimic_iii,MICN,3,occlusion,2024-07-26 04:15:18.432426,0:07:15.285707,
traffic,MICN,3,feature_ablation,2024-07-26 04:21:13.154408,0:04:25.879902,
mimic_iii,MICN,3,augmented_occlusion,2024-07-26 04:22:43.233731,0:07:24.646296,
traffic,MICN,3,occlusion,2024-07-26 04:25:42.325044,0:04:28.975604,
electricity,MICN,2,feature_ablation,2024-07-26 04:28:02.323168,0:06:32.551258,
mimic_iii,MICN,3,feature_permutation,2024-07-26 04:29:57.156769,0:07:13.759622,
traffic,MICN,3,augmented_occlusion,2024-07-26 04:30:14.311133,0:04:31.792065,
mimic_iii,MICN,3,integrated_gradients,2024-07-26 04:30:49.576387,0:00:52.265149,
mimic_iii,MICN,3,gradient_shap,2024-07-26 04:31:27.725406,0:00:37.991532,
mimic_iii,MICN,3,dyna_mask,2024-07-26 04:32:18.883400,0:00:51.004049,
electricity,MICN,2,occlusion,2024-07-26 04:34:39.729792,0:06:37.177666,
traffic,MICN,3,feature_permutation,2024-07-26 04:34:43.914980,0:04:29.403498,
traffic,MICN,3,integrated_gradients,2024-07-26 04:39:25.575399,0:04:41.460649,
